项目ID,项目,状态,资料时点,说明,分产品状态,整理日期
GL018,Kokkola (Umicore Finland) — planned 50kt nickel refinery (paused); existing cobalt/pCAM plant 科科拉(Umicore)镍精炼规划线(暂停)；现有钴精炼/pCAM厂,规划中或可研,底表核实年份：2025；状态始于2022年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL020,Hafod Isha Nickel and Cobalt Works (H.H. Vivian & Co. Ltd.) 哈福德伊沙(Hafod Isha)镍钴厂(维维安父子公司),永久关闭,底表核实年份：1894；状态始于1894年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL021,Vale Clydach Refinery 淡水河谷克莱达赫(Clydach)镍精炼厂,在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL022,INCO / Vale Acton Refinery (London) 国际镍公司(INCO)/淡水河谷阿克顿(Acton)精炼厂（伦敦）,永久关闭,底表核实年份：2019；状态始于2019年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL023,"Elbasan Metallurgical Combine – Nickel-Cobalt Plant (""Steel of the Party"" / Kombinati Metalurgjik ""Çeliku i Partisë"") 埃尔巴桑冶金联合企业镍钴厂(""党的钢铁""联合企业)",永久关闭,底表核实年份：1991；状态始于1991年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL024,Pobuzhsky Ferronickel Plant (PFK) 波布日镍铁厂（PFK）,停产(可复产),底表核实年份：2026；状态始于2022年,该记录按全球普查底表列为停产(可复产)。停产及变化背景见正文。,,2026-09-18
GL025,Ufaleynickel (OAO/JSC Ufaleynickel) 乌法列镍厂,永久关闭,底表核实年份：2017；状态始于2017年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL026,Rezhnickel (ZAO/OAO Rezhnickel) 雷日镍厂,永久关闭,底表核实年份：2017；状态始于2017年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL027,"South Urals Nickel Combine (Kombinat Yuzhuralnickel), Orsk 南乌拉尔镍联合企业（奥尔斯克）",保养维护(C&M),底表核实年份：2026；状态始于2012年,该记录按全球普查底表列为保养维护(C&M)。停产及变化背景见正文。,,2026-09-18
GL028,"Severonickel (Kola MMC Refining Plant), Monchegorsk 北方镍厂（科拉矿冶公司精炼厂，蒙切戈尔斯克）",在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
GL029,Nickel Plant (Norilsk) [Никелевый завод] 诺里尔斯克镍厂（老镍厂）,已拆除,底表核实年份：2019；状态始于2019年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL030,"Pechenganickel Combine Smelter, Nikel 佩琴加镍厂（尼克尔镇冶炼厂）",永久关闭,底表核实年份：2020；状态始于2020年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL031,Nadezhda Metallurgical Plant (NMP) 纳杰日达冶金厂（纳杰日金斯基冶金厂）,在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
GL032,Buruktal (Svetly) Ferronickel Plant — ООО «БНЗ» (Buruktalsky Nickel Plant) 布鲁克塔尔(斯韦特雷)镍铁厂,停产(可复产),底表核实年份：2026；状态始于2018年,该记录按全球普查底表列为停产(可复产)。,,2026-09-18
GL033,Chernogorsky GOK (Kingash Ni-Cu-PGE integrated project) 切尔诺戈尔斯克矿冶联合体（金加什镍铜铂族金属一体化项目）,规划中或可研,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL034,Copper Plant (Norilsk) 诺里尔斯克铜厂,在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
GL035,Kaznickel (Gornostayevskoye Ni-Co ISL Project) 哈萨克镍业（戈尔诺斯塔耶夫斯科耶镍钴原位溶浸项目）,在建,底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为在建。,,2026-09-18
GL036,Taiwan Nickel Refining Corporation 台湾镍业精炼股份有限公司,不详,底表核实年份：2012；状态始于2012年,该记录按全球普查底表列为不详。停产及变化背景见正文。,,2026-09-18
GL037,Niihama Nickel Refinery 新居浜镍精炼厂,在产,底表核实年份：2026；状态始于2024年,该记录按全球普查底表列为在产。,,2026-09-18
GL038,"Shimura Kako Co., Ltd. 志村化工株式会社(电解镍厂，历史)",永久关闭,底表核实年份：1979；状态始于1979年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL039,"Nippon Yakin Kogyo Co., Ltd. Oheyama Works 日本冶金工业 大江山制作所",在产,底表核实年份：2025；状态始于2024年,该记录按全球普查底表列为在产。,,2026-09-18
GL040,Harima Refinery 播磨精炼厂,在产,底表核实年份：2026；状态始于2023年,该记录按全球普查底表列为在产。,,2026-09-18
GL041,"Pacific Metals Co., Ltd. (PAMCO) Hachinohe Works 太平洋金属八户制炼所",减产或部分停产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为减产或部分停产。停产及变化背景见正文。,,2026-09-18
GL042,"Nippon Mining Co., Ltd. Nickel-Cobalt Separation Plant (historical) 日本矿业 镍钴分离厂(历史，选址未确认)",不详,底表核实年份：1975；状态始于1975年,该记录按全球普查底表列为不详。,,2026-09-18
GL043,"Hyuga Smelting Co., Ltd. 日向精炼所",在产,底表核实年份：2026；状态始于2024年,该记录按全球普查底表列为在产。,,2026-09-18
GL044,Mitsubishi Materials Naoshima Smelter (nickel byproduct) 三菱综合材料 直岛制炼所(镍副产),在产,底表核实年份：2019；状态始于2019年,该记录按全球普查底表列为在产。,,2026-09-18
GL045,Pacific Metals Hachinohe Polymetallic Nodule Processing Project 太平洋金属八户 多金属结核冶炼改造项目,规划中或可研,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL046,Sumitomo Metal Mining / Hyuga Smelting New Nickel Matte Production Facility 住友金属矿山/日向精炼 镍锍新产线,在建,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在建。,,2026-09-18
GL047,"Tokyo Nickel Co., Ltd. / Vale Japan Ltd. 东京镍业公司(后更名Vale Japan)松阪制炼所",在产,底表核实年份：2026；状态始于2023年,该记录按全球普查底表列为在产。,,2026-09-18
GL048,Korea Nickel Corporation (KNC) 韩国镍业公司(KNC),永久关闭,底表核实年份：2023；状态始于2023年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL049,"SNNC Co., Ltd. (POSCO-SMSP Ferronickel Smelter) SNNC(POSCO-SMSP合资镍铁厂)",在产,底表核实年份：2026；状态始于2024年,该记录按全球普查底表列为在产。,,2026-09-18
GL050,EcoPro Materials Pohang Plant (RMP / Nickel-Cobalt Refining + Precursor) EcoPro Materials 浦项厂(RMP镍钴精炼+前驱体),在产,底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL051,POSCO High-Purity Nickel Refinery POSCO 光阳高纯镍精炼厂,在产,底表核实年份：2026；状态始于2023年,该记录按全球普查底表列为在产。,,2026-09-18
GL052,Torecom (LS MnM) Nickel Sulfate Refinery Torecom(LS MnM子公司) 牙山硫酸镍精炼厂,在产,底表核实年份：2023；状态始于2023年,该记录按全球普查底表列为在产。,,2026-09-18
GL053,"Korea Zinc ""All-in-One Nickel Smelter"" (KEMCO, new) 高丽亚锌 温山'一体化镍冶炼厂'(新建)",在建,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在建。,,2026-09-18
GL054,LS MnM Ulsan Nickel-Cobalt-Manganese Sulfate Plant LS MnM 温山镍钴锰硫酸盐新厂,在建,底表核实年份：2024；状态始于2024年,该记录按全球普查底表列为在建。,,2026-09-18
GL055,KEMCO (Korea Zinc) Onsan Nickel Sulphate Refinery (existing line) 高丽亚锌/KEMCO 温山硫酸镍精炼厂(既有产线),在产,底表核实年份：2024；状态始于2021年,该记录按全球普查底表列为在产。,,2026-09-18
GL056,Hindustan Copper Ltd — Indian Copper Complex Nickel-Copper-Acid Recovery Plant 印度斯坦铜业公司—印度铜业联合体镍-铜-酸回收装置,不详,底表核实年份：2021；状态始于2021年,该记录按全球普查底表列为不详。停产及变化背景见正文。,,2026-09-18
GL057,Nicomet Industries Ltd. (Vedanta Nicomet) 尼科梅特工业公司（Vedanta Nicomet）,在产,底表核实年份：2026；状态始于2023年,该记录按全球普查底表列为在产。,,2026-09-18
GL058,AFC Nickel Sulphate Plant AFC硫酸镍厂,规划中或可研,底表核实年份：2022；状态始于2022年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL059,Tagaung Taung Nickel-Iron (Ferronickel) Project 德贡东（塔冈冬）镍铁冶炼项目,减产或部分停产,底表核实年份：2024；状态始于2024年,该记录按全球普查底表列为减产或部分停产。停产及变化背景见正文。,,2026-09-18
GL060,Mwetaung (Gullu Mual) Nickel-Ferronickel Project 牟埃冬（古鲁穆阿）镍铁项目,项目中止(未建成),底表核实年份：2014；状态始于2014年,该记录按全球普查底表列为项目中止(未建成)。停产及变化背景见正文。,,2026-09-18
GL061,Nonoc Nickel Refinery (Marinduque Mining & Industrial Corp.); revival attempted by Philnico Industrial Corporation (PIC) 诺诺克岛镍精炼厂（马林杜克矿业公司建；后由Philnico公司尝试复产改造）,永久关闭,底表核实年份：2012；状态始于2012年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL064,Global Ferronickel Holdings (GFNI) Planned HPAL Plant Global Ferronickel Holdings拟建HPAL厂,规划中或可研,底表核实年份：2024；状态始于2024年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL065,Nickel Asia Corporation Third HPAL Plant (Pujada Peninsula Project) Nickel Asia第三座HPAL厂（普哈达半岛项目）,规划中或可研,底表核实年份：2024；状态始于2024年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL066,Nickel Asia – DMCI Mining Nickel Processing Plant Partnership Nickel Asia与DMCI Mining镍加工厂合作项目,规划中或可研,底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL067,Zambales Ferro-Nickel Plant and Mining Project (Westchinamin Corp.) 三描礼士省镍铁厂及配套矿山项目（Westchinamin公司）,不详,底表核实年份：2018；状态始于2018年,该记录按全球普查底表列为不详。,,2026-09-18
GL068,Ban Phuc Nickel Mine & Concentrator 版福镍矿及选矿厂,保养维护(C&M),底表核实年份：2025；状态始于2016年,该记录按全球普查底表列为保养维护(C&M)。停产及变化背景见正文。,,2026-09-18
GL069,Ta Khoa Refinery (TKR) 达卡精炼厂（塔科亚精炼厂）,规划中或可研,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL071,Pointe Chaleix Smelter 沙莱克斯角(Pointe Chaleix)冶炼厂（新喀里多尼亚第一座镍冶炼厂）,已拆除,底表核实年份：1879；状态始于1879年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL072,"Ouroué Foundry, Thio 蒂奥乌鲁埃(Ouroué)冶炼厂",已拆除,底表核实年份：1891；状态始于1891年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL073,Doniambo Smelter (SLN) 多尼安博(Doniambo)冶炼厂,减产或部分停产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为减产或部分停产。,,2026-09-18
GL074,Thio-Mission Foundry 蒂奥教会区(Thio-Mission)冶炼厂,已拆除,底表核实年份：1930；状态始于1930年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL076,Koniambo Nickel SAS (KNS) Smelter 科尼安博(Koniambo)镍业公司(KNS)冶炼厂,保养维护(C&M),底表核实年份：2026；状态始于2024年,该记录按全球普查底表列为保养维护(C&M)。停产及变化背景见正文。,,2026-09-18
GL077,Hauts Fourneaux de Nouméa (Nouméa Blast Furnaces Co.) 努美阿高炉公司(Hauts Fourneaux de Nouméa),永久关闭,底表核实年份：1937；状态始于1937年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL078,Kwinana Nickel Refinery (incl. Nickel Sulphate Plant) 奎纳纳镍精炼厂（含硫酸镍工厂）,保养维护,截至2026年6月30日,BHP年度运营报告确认西澳镍业务自2024年12月起处于暂时暂停状态。,,2026-09-23
GL079,Kalgoorlie Nickel Smelter 卡尔古利镍冶炼厂,保养维护,截至2026年6月30日,BHP年度运营报告确认西澳镍业务自2024年12月起处于暂时暂停状态。,,2026-09-23
GL080,Yabulu Nickel Refinery (Palmer Nickel and Cobalt Refinery) 亚布鲁镍精炼厂（帕尔默镍钴精炼厂）,停产(可复产),底表核实年份：2026；状态始于2016年,该记录按全球普查底表列为停产(可复产)。停产及变化背景见正文。,,2026-09-18
GL085,Cobalt Blue Kwinana Cobalt-Nickel Refinery Cobalt Blue Kwinana钴镍精炼厂,规划中或可研,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL086,Kalgoorlie Nickel Project – Goongarrie Hub 卡尔古利镍项目—贡加里枢纽,可行性研究阶段,2026年6月3日公告,可研完成时间延后；计划2026年10月底前更新后续安排，尚非投产承诺。,,2026-09-23
GL087,Kalgoorlie pCAM Battery Materials Hub (Poseidon Nickel / Pure Battery Technologies) 卡尔古利前驱体正极材料(pCAM)电池材料枢纽,不详,底表核实年份：2023；状态始于2023年,该记录按全球普查底表列为不详。停产及变化背景见正文。,,2026-09-18
GL088,Kwinana Integrated Battery Material Facility (IGO / Wyloo Downstream Nickel Project) 奎纳纳一体化电池材料设施(IGO/Wyloo下游镍项目),项目中止(未建成),底表核实年份：2024；状态始于2024年,该记录按全球普查底表列为项目中止(未建成)。停产及变化背景见正文。,,2026-09-18
GL089,NiWest Nickel-Cobalt Project NiWest镍钴项目,规划中或可研,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL090,Sconi Cobalt-Nickel-Scandium Project 斯科尼(Sconi)钴镍钪项目,规划中或可研,底表核实年份：2023；状态始于2023年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL091,Sunrise Nickel-Cobalt Project (formerly Clean TeQ Sunrise) 日出(Sunrise)镍钴项目（原Clean TeQ Sunrise项目，与Syerston钪项目同一矿区）,规划中或可研,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL092,TECH Project (Townsville Energy Chemicals Hub) 昆士兰太平洋金属公司(QPM) TECH项目（汤斯维尔能源化工枢纽）,规划中或可研,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL093,Wingellina Nickel-Cobalt Project (Central Musgrave Project) 温杰利纳(中马斯格雷夫)镍钴项目,规划中或可研,底表核实年份：2026；状态始于2024年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL094,"Canadian Copper Company Copper Cliff Smelter (1888 original plant) 加拿大铜业公司科珀克利夫冶炼厂(1888年原始厂,萨德伯里首座冶炼厂)",已拆除,底表核实年份：1902；状态始于1902年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL095,Copper Cliff Smelter Complex (Vale Sudbury Complex) 铜崖冶炼厂综合体（萨德伯里）,在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
GL096,Mond Nickel Company Victoria Mines Smelter 蒙德镍业公司维多利亚矿区冶炼厂,已拆除,底表核实年份：1913；状态始于1913年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL097,Deloro Smelting and Refining Company 德洛罗冶炼精炼公司（钴/银/砷为主，镍为伴生，存疑收录）,已拆除,底表核实年份：1961；状态始于1961年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL098,Coniston Smelter 科尼斯顿冶炼厂,已拆除,底表核实年份：1976；状态始于1976年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL099,"British America Nickel Corporation – Deschênes, Quebec Hybinette Refinery 英美镍业公司魁北克德申海宾内特法精炼厂",已拆除,底表核实年份：1923；状态始于1923年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL100,Port Colborne Nickel Refinery 科尔本港镍精炼厂,减产或部分停产,底表核实年份：2026；状态始于1984年,该记录按全球普查底表列为减产或部分停产。停产及变化背景见正文。,,2026-09-18
GL101,British America Nickel Corporation – Nickelton Smelter 英美镍业公司镍尔顿(Nickelton)冶炼厂(默里矿区),已拆除,底表核实年份：1924；状态始于1924年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL102,Sudbury Smelter (Falconbridge / Glencore Sudbury Integrated Nickel Operations) 萨德伯里冶炼厂（原Falconbridge，现Glencore萨德伯里一体化镍业务）,在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
GL103,Sherritt Fort Saskatchewan Metals Processing Plant 谢里特堡萨斯喀彻温精炼厂,停产(可复产),底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为停产(可复产)。停产及变化背景见正文。,,2026-09-18
GL104,Thompson Refinery 汤普森精炼厂,永久关闭,底表核实年份：2018；状态始于2018年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL105,Thompson Smelter 汤普森冶炼厂,永久关闭,底表核实年份：2018；状态始于2018年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL106,Copper Cliff Nickel Refinery (CCNR) 铜崖镍精炼厂（羰基法）,在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
GL107,Long Harbour Processing Plant 朗哈伯（长港）湿法冶炼厂,在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
GL108,Argentia Hydrometallurgical Demonstration/Commercial Plant (proposed; superseded by Long Harbour) 阿金夏（阿真蒂亚）湿法冶炼示范/商业化项目（未按原计划建成，后被Long Harbour取代）,项目中止(未建成),底表核实年份：2003；状态始于2003年,该记录按全球普查底表列为项目中止(未建成)。停产及变化背景见正文。,,2026-09-18
GL109,Crawford Nickel-Cobalt Project & NetZero Metals Downstream Processing (planned) 克劳福德镍钴项目及NetZero Metals下游加工厂（规划中）,规划中或可研,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL110,"American Nickel Works, Camden, New Jersey 美国镍业公司(卡姆登镍厂，约瑟夫·沃顿创办)",永久关闭,底表核实年份：1905；状态始于1905年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL111,"Orford Copper Company Refinery (Constable Hook, Bayonne, NJ) 奥福德铜业公司炼厂（新泽西州贝永市）",永久关闭,底表核实年份：1922；状态始于1922年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL112,"Hanna Nickel Smelting Co. / Glenbrook Nickel Co. Smelter (Riddle, Oregon / Nickel Mountain) 汉纳镍冶炼公司/格伦布鲁克镍业公司里德尔冶炼厂（俄勒冈州镍山）",永久关闭,底表核实年份：1998；状态始于1998年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL113,Westwin Elements Lawton Nickel-Cobalt Refinery (Pilot/Demonstration Plant) 西温元素公司劳顿镍钴精炼厂（中试/示范装置）,在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
GL114,Electra Battery Materials Nickel Sulphate Refinery (proposed) Electra电池材料公司硫酸镍精炼厂（拟建）,规划中或可研,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL115,Missouri Cobalt / US Strategic Metals Battery Active Materials Plant 密苏里钴业/美国战略金属公司电池活性材料厂（含镍）,在建,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在建。,,2026-09-18
GL116,NorthMet Project Hydrometallurgical Plant (PolyMet / NewRange Copper Nickel) 北金属(NorthMet)项目湿法冶炼厂（PolyMet/新域铜镍，规划中）,规划中或可研,底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL117,Precision Periodic Central Florida Nickel-Cobalt-Manganese Refinery (proposed) Precision Periodic佛罗里达中部镍钴锰精炼厂（拟建）,规划中或可研,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL118,Stillwater/Sibanye-Stillwater Columbus Base Metal Refinery (PGM by-product nickel) 斯蒂尔沃特/西班牙优山比耶-斯蒂尔沃特哥伦布贱金属精炼厂（铂族金属副产镍）,减产或部分停产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为减产或部分停产。,,2026-09-18
GL119,"Talon Metals Beulah Minerals Processing Facility (Tamarack Project processing plant, North Dakota) — CANCELLED 塔隆金属公司北达科他州比尤拉矿物加工厂（塔马拉克项目配套设施，已放弃）",项目中止(未建成),底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为项目中止(未建成)。停产及变化背景见正文。,,2026-09-18
GL120,Westwin Elements Bryan County Nickel Refinery (proposed) 西温元素公司佐治亚州布莱恩县镍精炼厂（拟议中）,规划中或可研,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL121,"Fenix Nickel Project (Pronico ferronickel plant / CGN mine, formerly Exmibal/Inco) 菲尼克斯镍项目（普罗尼科镍铁厂，原EXMIBAL/Inco矿）",在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
GL122,Nicaro Nickel Plant (Comandante René Ramos Latour) 尼卡罗镍厂（雷内·拉莫斯·拉图尔镍厂）,永久关闭,底表核实年份：2012；状态始于2012年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL123,Moa Nickel S.A. – Pedro Sotto Alba Plant 莫阿镍厂（佩德罗·索托·阿尔瓦厂）,停产(可复产),底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为停产(可复产)。,,2026-09-18
GL124,Ernesto Che Guevara Nickel Plant (Punta Gorda) 蓬塔戈尔达镍厂（切·格瓦拉镍厂）,减产或部分停产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为减产或部分停产。,,2026-09-18
GL125,"Las Camariocas Plant (Comandante Camilo Cienfuegos, unfinished) 拉斯卡马里奥卡斯镍厂（卡米洛·西恩富戈斯镍厂，未完工）",项目中止(未建成),底表核实年份：2005；状态始于2005年,该记录按全球普查底表列为项目中止(未建成)。停产及变化背景见正文。,,2026-09-18
GL126,San Felipe Nickel Project (planned) 圣费利佩镍项目（规划，卡马圭省）,不详,底表核实年份：2005；状态始于2005年,该记录按全球普查底表列为不详。,,2026-09-18
GL127,Cerro Matoso Ferronickel Mine and Smelter 塞罗马托索镍铁厂,减产或部分停产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为减产或部分停产。,,2026-09-18
GL128,Falcondo (Falconbridge Dominicana) Ferronickel Plant 法尔康多镍铁厂（博纳奥）,停产(可复产),底表核实年份：2026；状态始于2023年,该记录按全球普查底表列为停产(可复产)。停产及变化背景见正文。,,2026-09-18
GL129,Loma de Níquel Ferronickel Plant 洛马德尼克尔镍铁厂,停产(可复产),底表核实年份：2026；状态始于2015年,该记录按全球普查底表列为停产(可复产)。停产及变化背景见正文。,,2026-09-18
GL130,Morro do Níquel 莫罗镍铁厂,永久关闭,1998年关闭,1998年关闭；关闭决定的具体原因继续查档。,,2026-09-21
GL131,Companhia Níquel Tocantins (CNT) Caron Plant 托坎廷斯镍公司（尼克兰迪亚Caron氨浸厂）,永久关闭,底表核实年份：2016；状态始于2016年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL132,Codemin Ferronickel Plant (Niquelândia) 科德明镍铁厂（尼克兰迪亚）,在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
GL133,Mineração Serra da Fortaleza (Fortaleza de Minas Nickel Matte Smelter) 福塔莱萨-德米纳斯镍厂（塞拉福塔莱萨矿业）,永久关闭,底表核实年份：2025；状态始于2013年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL134,Barro Alto Ferronickel Plant 巴罗阿尔托镍铁厂,在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
GL135,Onça Puma Ferronickel Plant 翁萨普马镍铁厂,在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL136,Araguaia Ferronickel Project (Horizonte Minerals) 阿拉瓜亚镍铁项目,保养维护(C&M),底表核实年份：2026；状态始于2024年,该记录按全球普查底表列为保养维护(C&M)。停产及变化背景见正文。,,2026-09-18
GL138,São Miguel Paulista Electrolytic Nickel Refinery 圣米格尔保利斯塔电解镍精炼厂,停产(可复产),底表核实年份：2026；状态始于2016年,该记录按全球普查底表列为停产(可复产)。停产及变化背景见正文。,,2026-09-18
GL139,Vermelho Nickel-Cobalt Project (Horizonte Minerals) 维尔梅柳镍钴项目,项目中止(未建成),底表核实年份：2024；状态始于2024年,该记录按全球普查底表列为项目中止(未建成)。,,2026-09-18
GL140,Impala Refining Services Base Metals Refinery (Springs) 英帕拉铂业斯普林斯贱金属精炼厂,在产,底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL141,Nkomati Nickel Mine (MMZ & PCMZ concentrators) 恩科马蒂镍矿选矿厂,保养维护(C&M),底表核实年份：2026；状态始于2021年,该记录按全球普查底表列为保养维护(C&M)。停产及变化背景见正文。,,2026-09-18
GL142,Northam Platinum Zondereinde Smelter & Base Metals Refinery 诺瑟姆铂业桑德雷恩德冶炼厂及贱金属精炼厂,在产,底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL143,"Thakadu Nickel Sulfate Plant, Marikana 萨卡杜硫酸镍厂(马里卡纳)",在产,底表核实年份：2021；状态始于2021年,该记录按全球普查底表列为在产。,,2026-09-18
GL144,Lonmin (Sibanye-Stillwater) Base Metals Refinery 隆明(西班尼-思达伟)贱金属精炼厂,在产,底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL145,Rustenburg Base Metals Refinery (RBMR) / Waterval Smelter Complex 鲁斯滕堡贱金属精炼厂(RBMR，含瓦特瓦尔冶炼厂),在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL146,BCL Smelter (Selebi-Phikwe Nickel-Copper Smelter) BCL塞莱比皮奎镍铜冶炼厂,永久关闭,底表核实年份：2016；状态始于2016年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL147,Tati Nickel Activox Base-Metals Refinery Project 塔蒂镍业Activox贱金属精炼项目(未建成),项目中止(未建成),底表核实年份：2006；状态始于2006年,该记录按全球普查底表列为项目中止(未建成)。停产及变化背景见正文。,,2026-09-18
GL148,Kabanga Nickel Project & Kahama Hydrometallurgical Refinery (planned) 卡班加镍矿及卡哈马湿法冶金精炼厂(规划中),规划中或可研,底表核实年份：2026；状态始于2024年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL149,Ntaka Hill Nickel-Cobalt Laterite Project 恩塔卡山镍钴红土矿项目,不详,底表核实年份：2026；状态始于2013年,该记录按全球普查底表列为不详。,,2026-09-18
GL150,"Musongati Nickel Laterite Project (planned, never built) 穆松加蒂镍红土矿项目(规划中，从未建成)",项目中止(未建成),底表核实年份：2011；状态始于2011年,该记录按全球普查底表列为项目中止(未建成)。停产及变化背景见正文。,,2026-09-18
GL151,Bou Azzer Cobalt-Nickel Complex (CTT / Managem) 布阿泽尔钴镍联合厂(CTT/曼纳吉姆),在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
